repo,priority,opportunity,recommended_frontend_component,recommended_backend_component,recommended_logic_component,recommended_process_component,recommended_eval_or_prompt,evidence_paths
mbarbine__global-anti-globalist-club-webby,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",.Jules/bolt.md | README.md | app/docs/page.tsx | app/globals.css | components/stripe-button.tsx | lib/utils.ts | pnpm-lock.yaml
mbarbine__gamer,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | components/steam-search-modal.tsx | components/ui/card.tsx | components/ui/dialog.tsx | components/ui/input.tsx | pnpm-lock.yaml
mbarbine__front-runners-webby,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/api/docs/route.ts | app/globals.css | app/rss.xml/route.ts | components/faq.tsx | lib/community.ts | pnpm-lock.yaml
mbarbine__evernote-js,high,"AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs; Security signal explanation, trust scoring, bot analysis, and anomaly detection; Semantic search, query expansion, ranking, and recommendations","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | pnpm-lock.yaml | src/components/SearchBar.tsx | src/lib/api.ts
mbarbine__drone-reel-webby,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",app/api/docs/route.ts | app/api/network/graph/route.ts | app/api/network/jobs/route.ts | app/api/v1/product/route.ts | app/error.tsx | app/feed.xml/route.ts | app/rss.xml/route.ts | components/ui/alert-dialog.tsx | components/ui/form.tsx | components/ui/tabs.tsx | lib/fingerprint.ts | lib/site-config.ts | pnpm-lock.yaml
mbarbine__dogstar-cybernetics-webby,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/globals.css | components/ui/alert-dialog.tsx | components/ui/spinner.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | pnpm-lock.yaml
mbarbine__FlaskFlow-www,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs; Security signal explanation, trust scoring, bot analysis, and anomaly detection","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/globals.css | lib/utils.ts | pnpm-lock.yaml
process-co__npm-element-types,enhance-existing,"AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs; Security signal explanation, trust scoring, bot analysis, and anomaly detection; Shipment exception analysis, rate explanation, and workflow recommendations","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | package.json | src/index.ts | src/materialize-slot-definition.ts | src/zod-container-export-json-schema.ts
process-co__npm-element-dev-server,enhance-existing,"AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs; Security signal explanation, trust scoring, bot analysis, and anomaly detection","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",DEPENDENCY-RESOLUTION.md | README.md | src/logo.tsx
process-co__json-graph,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | css/ui.css | src/components/JsonGraph.tsx | src/utils/getDisplayLabel.ts | tailwind-proc-theme.ts
ph3ar__www_js_terminal,enhance-existing,"AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI process assistant for checklists, SOPs, runbooks, and operational handoffs; Security signal explanation, trust scoring, bot analysis, and anomaly detection","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | pnpm-lock.yaml | test/frontend.spec.js | vercel.json
ph3ar__stripe-subscription-starter,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README_STRIPE.md | app/.well-known/mcp/route.ts | components/ui/Input/Input.tsx | components/ui/Toasts/use-toast.ts | pnpm-lock.yaml | styles/main.css | utils/helpers.ts
ph3ar__renegade-bbs-docker,enhance-existing,"AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI process assistant for checklists, SOPs, runbooks, and operational handoffs; Shipment exception analysis, rate explanation, and workflow recommendations","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",Dockerfile | README.md
ph3ar__radio-backend,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",Dockerfile | EDITING.md | app/globals.css | components/api-docs.tsx | components/event-feed.tsx | lib/utils.ts | pnpm-lock.yaml | tests/api-events-post.test.ts
ph3ar__platphorm-admin-dashboard,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",LICENSE.md | app/(dashboard)/search.tsx | app/api/mcp/route.ts | app/login/page.tsx | components/ui/tabs.tsx | middleware.ts
ph3ar__ph3ar_radio_backend,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | actions_runner/bin/hashFiles/index.js | client/src/index.css | client/src/utils.test.ts | config.cmd
ph3ar__ph3ar-docs-enhanced-labs,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",Drafts/JA4+-Advanced-Draft.mdx | README_FOXIO.md | components/FingerprintDetection.js | config/theme-config.tsx | styles/FingerprintSearchAndScore.module.css | styles/ThreatSimulator.module.css | types/pcap-ng-parser.d.ts | vercel.json
ph3ar__mailthing-webby,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README_PH3AR.md | archive/page.tsx | components/FilePreview.tsx | next.config.mjs | utils/supabaseClient.ts
ph3ar__js_mongo_app_boilerplate,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs; Security signal explanation, trust scoring, bot analysis, and anomaly detection","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | prod-checklist.md | public/css/themes/default/_default.scss | test/models.js
ph3ar__hope-auto-checkin,enhance-existing,"AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI process assistant for checklists, SOPs, runbooks, and operational handoffs; Security signal explanation, trust scoring, bot analysis, and anomaly detection","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | checkin.js
mbarbine__zornixOS,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",Dockerfile | README.md | book/chapter-6/6.28-make-sed.sh | book/chapter-6/6.52-make-ninja.sh | tools/include/asm-generic/..install.cmd | tools/lib/libstdc++.so.6.0.25-gdb.py | tools/lib64/perl5/5.28.0/Unicode/Collate/keys.txt | tools/lib64/tclooConfig.sh
mbarbine__xsociety,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI assisted writing, cleanup, conversion, summarization, and validation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",html/components/datatables-plugins/features/alphabetSearch/dataTables.alphabetSearch.js | html/components/mocha/mocha.css | keybuilder.py | pipeline/cookbooks/aws_account_setup/vpc_mgmt/create-options.sh | pipeline/cookbooks/build-essential/CHANGELOG.md | pipeline/cookbooks/jenkins/TODO.md | requirements.txt | xsociety_installer.sh
mbarbine__www-demo-biofeedback-app-development,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/globals.css | components/__tests__/canine-monitor.test.tsx | components/anomaly-feed.tsx | components/validation-panel.tsx | jest.config.js | pnpm-lock.yaml
mbarbine__wildduck,enhance-existing,"AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs; Security signal explanation, trust scoring, bot analysis, and anomaly detection","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | docs/CLEANUP_ANALYSIS.md | scripts/pre-start-validation.sh | setup.sh
